Ground Truth,GCV,ED GCV,AWS,ED AWS,Azure,ED Azure,MP,ED MP
"def main():
    string = str(input(""Enter string: ""))
    for i in range((len(string) - 1), -1, -1):
        print(string[i])
","def main ():
string = str (input ('Enter string: '))
for i in range
print (string[i])
((len(string)-1),-1,-1):
لك
TO
AYS",60,"our
priud
- "") abuse u! ! way
(5, : bureys capul, ) produc) eys = burays
:
()unow top",104,"det
main ():
string = str (input ('Enter string: '))
for i in range ((len (string)-1), - 1 ,- 1).
print (string [i])",34,"def \( \operatorname{main}( \) ):
\[
\text { string }=\operatorname{str}(\text { input ('Enter string: IJ) }
\]
for \( i \) in range \( (( \) len(string \( )-1),-1,-1) \) : print (string \( [i] \) )",102
"seq = [1, 2, 3, 4, 5, 6, 7, 8, 9]
seq_even = []
# It check every element in list(sequence) --
for i in seq:
    # It decides whether an element from sequence is even ---
    if i % 2 == 0:
        seq_even.append(i)  # appends even i in empty list(seq_even)
print(seq_even)
","seq - [1, 2, 3, 4, 5, 6, 7, 8, 9]
seg - even = []
#It checks every element in dist (sequence)--
for i in seq:
#it decides whether an element from sequence is even ---
if i % 2 == 0:
seq-even. append(i) #appends even i in empty list (seq-even)
print (seq-even)",40,"seq = [1, 2, 3, 4, 5 , 6, 7, 8, ]
seg even = [ ]
# It checks every element in list (sequence)
for i in seq:
# it decides whether an element from sequence is even
if i % 2 == O:
seq-even. append (i) # appends even i in empty list (seq-even)
print (seq-even)",44,"seq = [ 1, 2, 3, 4, 5, 6, 7, 8,9]
Seg-even=[]
# It checks every element in list (sequence) - --
for i in seg:
# it decides whether an element from sequence is even --.
if i % 2 = = 0:
seg-even. append (i) # appends even ; in empty list (seq-even)
print (seg-even)",46,"\[
\begin{array}{l}
\text { seq }=[1,2,3,4,5,6,7,8,9] \\
\text { seq-even }=[]
\end{array}
\]
\# It checks every element in dist(sequence.).for \( i \) in seq:
\# it decides whether an clement from sequence is even -.. if \( i \% 2==0 \) :
seq-even. append ( \( i \) ) \# appends even \( i \) in empty list (seq-even) print (seq-even)",127
"from graphics import Canvas
CANVAS_WIDTH = 300
CANVAS_HEIGHT = 300
CIRCLE_SIZE = 20
DELAY = 0.01

def main:
    canvas = Canvas(CANVAS_WIDTH, CANVAS_HEIGHT)
    while TRUE
        mouse_x = canvas.get_mouse_x()
        mouse_y = canvas.get_mouse_y()
        if mouse_x >= 0 and mouse_x <= CANVAS_WIDTH and mouse_y >=0 and mouse_y <= CANVAS_HEIGHT
","from
FROM GRAPHICS IMPORT CANVAS
CANVAS_WIDTH = 300
CANVAS-HEIGHT = 300
CIRCLE_SIZE =
DELAY = 0,01
= 20
DEF MAIN:
CANVAS = CANVAS ( CANVAS WIDTH, CANVAS HEIGHT
WHILE TRUE
MOVSE_X = CANVAS. GET_MOUSE_x()
MOUSE-Y = CANVAS. GET MOUSE_Y()
TE
1
IF MOUSE X >= 0 AND MOUSE X E CANVAS_WIDTH
AND MOUSELY TO AND MOUSE_YE CANVAS. HEIGH",203,"FROM GRAPHICS IMPORT CANVAS
CANVAS_WIDTH 11 300
CANVAS_HEIGHT = 300
CIRCLE_SIZE = 20
DELAY = 0,01
DEF MAIN :
CANVAS = CANVAS(CANVAS WIDTH, CANVAS HEC 641)
WHILE TRUE
MOVSE -X = CANVAS. 6ET MOUSE x()
MOV. SE- - Y = CANVAS. GET MOUSE ( ) )
If MOUSE_ x > = U AND MOUSE x t CANUAS_WIDTH
AND NOUSE. -Y >=0 AND MOUSE_YE CANUVAS.HEIGH",199,"FROM GRAPHICS IMPORT CANVAS
CANVAS_WIDTH = 300
CANVAS_ HEIGHT = 300
CIRCLE_SIZE = 20
DELAY = 0,01
DEF MAIN :
CANVAS = CANVAS ( CANVAS_ WIDTH, CANVAS HEL GH)
WHILE TRUE
MOUSE_ X = CANVAS . GET_MOUSE _ X ()
MOUSE- Y = CANVAS . GET MOUSE_ Y ( )
IF MOUSE XT =U AND MOUSE X E CANVAS_WIDTH
AND MOUSELY SEO AND MOUSE-TE CANVAS HEIGH",205,"FRIM GRAPHICS I MPORT CANVAS
\[
\begin{array}{l}
\text { CANVAS_WIDTH }=300 \\
\text { CANVAS_HEl6HT }=300 \\
\text { CIRCLE_SIZE }=20 \\
\text { DELAY = } 0,01
\end{array}
\]
DEF MAIN :
canvas = Canvas ( canvar_ wi DFH, canvas Hec b HT)
WHILE TRUE
\[
\begin{array}{l}
\text { MOVSE-X = CONVAS. GET_MOUSE_X() } \\
\text { MOVSE-Y = CANVAS. GET MOUSE_Y () }
\end{array}
\]
If MOUSE_X \( X=0 \) AND MOUSE_X \( E \) CANUNS_WIOT4 AND NOUSE_Y \( T=0 \) AND MOUSE_YE CH, USS. HEIG",321
"# 1 karel Problem - karel Home
from karel.stanfordkarel import *
# This program defines a main function which should make Karel
# move to the beeper, pick it up and return home.

def main():
    get_out()
    pick_food()
    get_back_home()
# pre : karel facing east, at the corner of starting position
# post: karel facing east, outside the home, at the position of beeper

def get_out():
    turn_right()
    move()
    turn_left()
    move()
    move()
    move()
# post: karel facing west, at the position of beeper

def pick_food():
    pick_beeper()
    turn_around()
# post: karel facing east, at the corner of starting position

def get_back_home():
    move()
    move()
    move()
    turn_right()
    move()
    turn_right()

def turn_right():
    for i in range(3):
        turn_left()

def turn_around():
    turn_left()
    turn_left()

if __name__ == ""__main__"":
    main()
","#1 Karel Problem - Karel home
from Kard Stanfordkarel import *
# This program defines a main function which should make karel
# move to the beeper, pick it and return home.
up
def main ():
GRE_ONE ()
pick-food ()
get back home u
#pre: Karel facing eask, at the corner of starting position.
# posk: Karel facing east, outside the home, at the position of beeper
def get out ():
turn_right()
Move (
turn_left()
Move ()
Move ()
move()
# post
· Karel facing west, at
def pick-food ():
pick beeper ()
turn around ()
#post: Karel facing east, at the corner of starting position
def get back home ():
move ()
Move ()
move()
turn_right()
move ()
turn right (1
def turn right ():
for i in range (3)
turn_left()
def turn around ():
turn_left()
zurn_left()
the position of beeper
if_name__ == '__main_ ' :
main ()",229,"# 1 karel Problem - Karel home
from Karel stanfordkarel import
# This program defines a main function which should make karel
# move to the beeper, pick it up and return home
def main ():
get-one(?
pick_food ()
get_back home ()
# pre : Karel facing east, at Line corner of starting position
# post ! karel facing east, outside the home, at the position of beeper
def get out ()
turn_ right
move ()
turn left ()
move ()
move
move
# post Karel facing west at the position of beeper
10°M
def pick-food () :
beeper ()
turn_ around()
# post: Karel facing east, at the corner of starting position
def get- back home () :
move ()
move
move ()
turn_right ( )
move ()
turn
right ()
def turn right ( )
for i in range (3) :
turn_left
def turn_ around () :
turn_ left ()
turn_ left ()
if name- == '-main-':
main ()",202,"# 1 karel Problem - Karel home
from Karel. Stanfordkarel import*
# This program defines a main function which should make karel
# move to the beeper, pick it up and return home
def main () :
get_Out ()
pick_food ()
get back_ home ()
# pre: Karel facing east, at the corner of starting position
# post: karel facing east, outside the home, at the position of beeper
def get_out () :
turn_right ()
move ()
turn_ left ()
move ()
move ()
move ()
# post: Karel facing west, at the position of beeper
def pick-food ():
pick_beeper ()
turn-around ( )
# post: Karel facing east, at the corner of starting position
def get_back_home () :
move ()
Move ()
move ()
turn right ()
move ( )
turn right ()
def turn right () ;
for i in range (3) :
turn-left ()
def
turn-around () :
turn_left ()
turn_kft ()
if_ name_ == - main -:
main ()",179,"\#1 karel Problem-karel home from karel. Stanfordkarel impork *
\# This program defines a main function which should make karel \# move to the beeper, pick it up and return home
def \( \operatorname{main}() \) :
get_oute \( ( \) )
pick-food ()
get_back_home \( U \)
\# pre: Karel facing eask, at the corner of stomeng position
\# posk: Karel facing east, oukside the home, at the position of beeper
def get_out () :
turn_right ()
move?
turn_left ()
move ()
move ()
move ()
\# post : Karel facing west, at the position of beeper
def pick-food () :
pick_beeper ()
turn_around ()
\# post: karel fring east, at the corner of stonting position def get_back_home ():
move ()
move ()
move ()
turn_right ()
move ()
turn right ( )
def turn right () :
for \( i \) in range (3) :
turn_left ()
def turn around ():
turn_left ()
turn_kft()
if _ name_ \( == \) - main - '
main ()",223
"def factorial(n):
    if n == 0:
        return 1
    else:
        return n * factorial(n - 1)
print(factorial(5))
","def factorial (n):
if n == 0:
return 1
else:
return n* factorial (n-1)
print (factorial (5))",34,"def factorial(n)
if n==
O:
return 1
else :
return n
factorial (n-1) -
print (factorial(5))",39,"def factorial (n) :
if n=0 :
return 1
else:
return 1 * factorial (n-1)
print (factorial (5)",39,"def factorial \( (n) \) :
if \( n==0 \) :
return 1
else:
return \( n \) * factorial \( (n-1) \)
print (factorial \( (5)) \)",56
"def main():
    list1 = [1, 2, 3, 4]
    list2 = [3, 4, 5, 6]
    list = []
    for elem1 in list1:
        for elem2 in list2:
            if elem1 == elem2:
                elem = elem1
                list.append(elem)
    print(list)
","det main 1:
List 1 2 (1,2,3,4]
List 2 = (3,4,5,67
List = []
for elem 1 in list 1 1
for elem2 în list 2:
it olem2 = = elem 2:
elem = elem 2
(N46)
print (list)
list-append (etem)
Livor",118,"det main O
list 1 2 (1,2,3,4)
list 2 2 (3,4,5,67
List = 17
for elem1 in list 1 :
for elem2 in list2:
it elem1 == elem2:
elem = elem7
list-append (eum)
print (list)",103,"det main () :
list 1 2 [1, 2,3,4]
list 2 =
(3,4,5,6)
List = []
for elem1 in list 1?
for eleme in list2:
it elem1 = = elem2?
elem = elem 2
list- append (elem)
print (ist)",101,"det \( \operatorname{man}(1) \) :
\[
\begin{array}{l}
\text { list } 1=[1,2,3,4] \\
\text { list } 2=[3,4,5,6] \\
\text { List }=[7] \text { in list } 11 \\
\text { for elem } 1
\end{array}
\]
for elem2 in list2:
it \( \operatorname{elem} 2= \) elem2:
elem = elem 2
list-append (eum)
print (ist)",192
"String = input()
print(String[::-1])
","String = input ()
print (String[::-1])",3,"String = input c)
print (String [:
-
-1])",8,"String = input c)
print (String [ ::- 1])",7,\( \begin{array}{l}\text { String }=\text { input } C) \\ \text { print }(\text { String }[::-1])\end{array} \),77
"from karel.stanfordkarel import *

def main():
    turn_left()
    tower_N()
    tower_S()
    move_4x()
    turn_left()
    tower_N()
    tower_S()

def tower_S():
    turn_3x()
    tower()
    turn_left()

def tower_N():
    tower()
    turn_3x()
    move_4x()

def tower():
    for i in range(5):
        if front_is_clear():
            put_beeper()
            move()
        else:
            put_beeper()

def turn_3x():
    turn_left()
    turn_left()
    turn_left()

def move_4x():
    move()
    move()
    move()
    move()

if __name__ == ""__main__"":
    main()
","from Karel. Stanford Rund emport
def main ():
turn-
laft
Tower_N()
tower_S()
Move 4x()
Fern-
-left()
tower_N()
-S()
tower
del
de tower -S():
Furn-3x()
tower ()
turn_left()
del tower _N():
Town ()
turn _ 3x()
move 4x()
def tower (13
for i in
range
(5):
if front_is_clear():
Put-baper (1
movel)
else:
def. Jurn - 3×(1:
turn_left()
leftis
turn-
Turn_left()
()
pest-beeper ()
- Move_4x();
move()
move()
movell
move()
name --
__main__."":
main ()
K",267,"from Karel. Stanford Kand import
K
de/ main()
turn-left
tower-NC
tower- sc)
move-4x ( )
turn-lette
tower N()
tower - sc )
de/ tower - s():
turn - 3x()
tower ()
turn - lefter
def tower - NC):
town ()
turn. - 3x()
move 4r ()
def tower ():
for i in range (5) :
if front - clear():
Put-baper (
movel
else:
put. buper()
def turn- 3x(1:
turn- left(1
turn - left
Turn - left ()
del move _4x():
move!!
more!!
movel
move
=='--
if
name
main !)",285,"from Karel. Stanford Kad import ""
def main () :
turn - left 11
tower_N()
tower- SC)
move- 4x ( )
turn-left ( )
tower- N()
tower - SC )
del tower - s():
turn - 3x ()
Tower ()
Turn- left ( )
del tower- NC) .
Tower ()
turn- 3x()
move- 4x ()
del tower ():
for i in range (5) :
il front-is- clear ( ):
Put-boper ()
move ()
else:
Put- beeper ()
def.turn- 3x (1:
Turn- left ()
turn - left ()
burn- left ()
def . mere_ 4x();
move ()
move ()
morell
move ()
if -- name __ = = -- main __
main ()",277,"from Karel. Stanfordkad import *
def max \( (1): \)
\[
\begin{array}{l}
\text { furn - let (1) } \\
\text { fown-N() } \\
\text { tower-S() } \\
\text { move-4x () } \\
\text { furm-lyt ( ) } \\
\text { tower-N( ) } \\
\text { tower-S() } \\
\end{array}
\]
def tower-s() :
\[
\begin{array}{l}
\text { furn - } 3 \times() \\
\text { Tower (1) } \\
\text { turn - laff() }
\end{array}
\]
def tower - N ( ):
town ()
\( \operatorname{tin} \) - \( 3 \times() \)
move_ \( 4 \times() \)
def tower (1):
for \( i \) in rang \( (5) \) :
if front-is-clear () :
move ()
else:
put_buper ()
def. fum \( -3 \times(1) \) :
\[
\begin{array}{l}
\text { turn - blff (1) } \\
\text { turn - bff (1) } \\
\text { turn - beft (1) }
\end{array}
\]
def mere_4r(1):
morel)
\[
\begin{array}{c}
\text { if name - }==^{\prime} \text {. main ... } \\
\text { main () }
\end{array}
\]
main 1)",556
"def main():
    string = str(input(""Enter string: ""))
    for i in range((len(string) - 1), -1, -1):
        print(string[i])

if __name__ == ""__main__"":
    main()
","def main ():
string = str (input ( 'Enter string :'))
for i in range ((len (string)-1),-1,-1):
print (string[i])
if __name__ == '___main__':
main()",41,"def main ():
string = str (input( 'Enter string '))
for i in range ((len(string) - 1),-1,-1) :
print (string[i])
if -name '__main_':
main()",44,"det main ( ):
String = str (input (""Enter string: '))
for i in range ((len (string) -1) ,- 1 ,- 1):
print (string [i])
if __ name _== '_main-':
main ()",50,"det main ():
string \( = \) str (input ( Enter string: '))
for \( i \) in range ((len (string) -1\( ),-1,-1) \) : print (string \( [i] \) )
if name_ \( == \) '_-_main_-1:
\( \operatorname{main}() \)",81
"def main():
    num = int(input(""Enter a number: ""))
    print(f""{num} is {'prime' if is_prime(num) else 'not prime'}"")

def is_prime(n):
    if n <= 1:
        return False
    elif n <= 3:
        return True
    elif n % 2 == 0 or n % 3 == 0:
        return False
    for i in range(5, int(n**0.5) + 1, 6):
        if n % i == 0 or n % (i + 2) == 0:
            return False
    return True

if __name__ == ""__main__"":
    main()
","if
def main():
nur - int (input (""Enter a umby: ""))
print (f"" { num } is { ""prime if is_preme (nom)
else 'not prime' 3"")
Lef is__ pame(n):
<=
return false
elif n <= 3.
Feton True
elf 0 ² 2 = = 6
0² / 3 = = 0;
retow False
for i iN, Range (5, int(n"" 0.5) +1,6)
if 1% 1 = = 0¹ 0² 0% (i + 2) = = 6:
retor False
netum Thve
пале
maiN ()
--
main",190,"def main():
num = a NMBU: ""))
is {'prime' if ip_proundnorm)
else'not prime'3"")
def is prone(s)
if n<=1
return False
olig n <=3:
retun True
effn82==0 OR n% 3==0:
retor False
for i iN Range (5, int(c (0.5)+1,6)
if n%i==0 OR n% (i+2) == 6
return False
refund True
if
nane
1' main Ir's
main ()",198,"def main():
num = int (input( ""Enter a NM bu :
print (f""Enums is S'prime if is_ prime (nom)
else not primé 3"">
def is_ prime(1):
if n <= 12
return false
elif > <= 3:
Cetun True
elf n/ 2 = = x OR 1% 3=6 ;
return False
for i in Range (5, int(1 +0.5) + 1,6
if 1% i = = x or 1% (1+2) =0 :
return False
return True
if
= =
- - main
main ()",165,"\( \operatorname{deg} \operatorname{main}(): \)
num =int( (iuput(""Entu a NMkn: "")) prutt(f""\{num\} is \{'prime' if is prome(num) else not prime 3 "")
def is prme \( (n) \) :
if \( n<=1 \)
reture alse
\( \operatorname{elif} \cap<=3 \) :
seton True
elf \( n \% 2==\varnothing \) or \( \cap \% 3==\varnothing \) :
re tow Jalse
for i in Ravge \( \left(5\right. \) int \( \left.\left(n^{* *} 0,5\right)+1,6\right) \) if \( n \% i==\varnothing \) or \( n \%(i+2)==\varnothing \) : retur false
nefom thoe",318
"from karel.stanfordkarel import *

def main():
    turn_left()
    while front_is_clear():
        turn_right()
        fill_row()
        return_to_home()
        jump_row()
    turn_right()
    fill_row()
    return_to_home()
    while front_is_clear():
        move()

def fill_row():
    while front_is_clear():
        put_beeper()
        move()
    put_beeper()
","from Karel. Stamfordkarel import
def main ():
turn-left():
while frent_is_ alpar (fi
tunn-right()
fill-row ()
return _to_home ll
Jump_row()
turn_right()
fill-row ()
vetwook to home ()
while frent-is. Elear();
meve (s
Sef fill_row();
while frent_is_ clearl]
put - beeper ()
move ()
put-beeper ()",149,"from Karel. stam fordmarel impert
def main():
turn-left():
while frent- is alpar():
turn-rights
fill-row()
return to home(s)
junprowl
turn-right
fillstow()
return te 3-home()
while front is. Elear(1:
meve()
def fill. rew() :
while front. is. clearl)
put - beeper()
move()
put-seeper()",150,"from karel . stamfordkarel. import *
def mais ():
turn-left ():
while frent_ is_ alpar ();
turn-right ()
fill-row ( )
return_to_ home()
jumprow ()
turn-right ()
fill-row ()
returnkte -home ()
while front- is Elcar();
meve ()
Sef fill -row() ;
while front- is clear()
put - beeper ()
move ()
put-beeper ()",147,"fremkarel. stamfordkared impert*
def \( \operatorname{main}() \) :
turn-left ():
while frent - is _ clpar ():
tumn-right 1)
fill-row()
retwn-te-home()
junprow()
turn - right ()
fillarow ()
ve turnkte - home ()
while front-is. Elear ( \( ) \) :
meve()
def fill-rew():
while front - is - clearl)
put - beeper ()
move ()
put-beeper ()",177
"from stanfordkarel import *
""""""
Karel should fill the whole world with beepers.
""""""

def main():
    """"""
    You should write your code to make Karel do its task in
    this function. Make sure to delete the 'pass' line before
    starting to write your own code. You should also delete this
    comment and replace it with a better, more descriptive one.
    """"""
    while not left_is_blocked():
        put_beeper_Line()
        reset_Position()
    put_beeper_Line()

def put_beeper_Line():
    put_beeper()
    while front_is_clear():
        move()
        put_beeper()
","from stanfordKarel import *
11 11 11
Kard should
beepers.
|| || ||
def
main ():
11 [1 (1
You should write
Karel do its
comment
better
fill
11 [11
/
the whole world with
Make
виче
before starting to
code. You should also
to
task in this
function.
delete the pass line
write your
owen
delete this
with
and replace it
more descriptive one.
move ()
put_ beeper ()
your
put_ beeper _line ()
our code to malce
While not left_it_ blocked ():
put - beeper_Line()
resit_ Position ()
dif put_beeper_Line():
put_beeper ()
front_is_clear
while
():",376,"from stanford hard import
Kard should fill the whole world with
beepers
11 11 11
daf main () :
11
11
11
you should write your code to male
karel do its task in this function.
Make sure to delite the pass line
code. You should also delete
before starting to write your this own
comment and replace it with a
better more descriptive one
11 11
while not left- is blocked C):
put- buper-line()
resit_Position c)
put- buper - Line c)
def put beeper-line() -
put beeper c)
while front is clear C) :
move ()
put- - beeper c)",208,"from stanfordkarel import *
Kard should fill the whole world with
keepers.
11 11 11
daf main () :
11 11 11
You should write your code to males
Karel do its task in this function.
Make sure to delete the 'pass line
before starting to write your own
code. You should also delete this
comment and replace it with a
better more descriptive one.
11 11 11
While not left-is - blocked ():
put -beeper -Line()
reset_Position ()
put-buper _line ()
de put_leeper-Line ():
put -beeper ()
While front-is- clear ():
move ( )
put -beeper ()",141,"Grom stanfordkarel import *
111111
Karel should fill the whole world with bepers.
111111
def \( \operatorname{main}() \) :
""11 11
You should write your code to male karel do its task in this function. Make sure to delete the 'pass'1 line bfore slarting to rurite your owen code. You should also delete thir comment and replace it with a better, more descriptive one. 111111

While not left_ir_blockd ():
put_beper_Lin ()
resit_position ()
put_buper_line C)
dy put_buper-Line \( ( \) ):
put_beper ()
while front_is-clear C):
move ()
put_beper ()",155
"#karel needs to move to the bottom of the next arch to commence 
#building the next column.
#precondition: karel is facing east
#post condition: karel is still facing east at the next column site.

def move_to_next_arch_bottom():
    if front_is_clear():
        for i in range(4):
            move()""

def turn_around():
    turn_left()
    turn_left()
if __name__ == '__main__':
    main()
","#Karel needs to move to the bottom of the next arch to comm
#ence building the next column.
# Precondition: Karel is facing east
#post_condition : Karel is facing east at the next column site.
def move_to_ next_arch_botton ():
if front is clear ():
for i in range (4):
move ()
def turn around () =
turn_left()
turn_left (D
if name
Main ()
main",119,"#karel needs to more to the bottom of the next arch to comm
#ence building the next column.
#
Precondition: Karel is facing east
# post-condition: Karel is facing east at the next column site.
def move to next arch botto ():
if front is clear ():
for i in range (4)
move ()
def turn around ():
turn left()
turn_left(3)
if name 1 i main , :
main ()",117,"#karel needs to move to the bottom of the next noch to com
Hence building the next column.
# Precondition: Karel is facing east
# post-condition: Karel is facing east at the next column site.
def move_to_next_arch_botton ();
if front is clear ():
for i in range (4) :
move ()
def turn around ():
turn_left ( )
turn left ()
if __ name.
main
main ()",120,"Hikarel needs to move to the bottom of the next arech to comm. Hence building the next column.
\# Precondition: karel is facing east
\#post-condition: kavel is facing east at the next column site. def move_to_next_arch_botton():
if frontis-clear () :
for \( i \) in range (4):
move ()
def turnarounl () :",159
"def find_lrgst_smallst(number):
    if not numbers:
        return none
    smallest = largest = number[0]
    for num in numbers:
        if num < smallest:
            smallest = num
        if num > largest:
            largest = num
    return smallest, largest
# Example Usage:
numbers = [1, 2, 3, 4, 5, 6, 7, 8, 9]
result = find_lrgst_smallst(numbers)
print(result)
","HEART
def- find Ligst_smallet (number);
if not numbers:
return none
-Smallest= largest = number [0]
for num in numbers:
if num < smallest:
= num
пит
smallest
if nam > Largest :
Largest.
fieturin smallest, Largest
= num
#Example usage:
numbers = [1, 2, 3, 4, 5, 6, 7, 8, 9]
Tresult
find_ligst __ smallst (numbens)
print (result)
উদ্ভাস-উন্মেষ শিক্ষা পরিবার",143,"def find-Ligst_smallst - (number):
if not numbers:
return none
-Smallest. = largest = number [0]
for num in numbers:
if num < smallest:
smallest = num
if nam > largest:
Largest = num
return smallest, Largest
Example usage:
numbers = [1, 2, 3, 4,5,6,7,8,9]
result = find_ligst_smalist (numbers)
print (result)",91,"def find_Ligst_smallst (number):
00
if not numbers:
Return none
Smallest=largest = number [0]
-
for num in numbers:
lif
num < smallest:
smallest = num
if
nam > Largest :
Largest = num
tieturin smallest, Largest
# Example usage:
numbers = [1,2,3, 4,5,6,7,8,9]
Hresult = find_ligst_smallst(numbers)
print (result)
उदास-उदास मिका शंतिबाज़",117,"def find_rigst_smallst (number):
if not numbers:
return none
- Smallest = largest = number [0]
for num in numbers:
if num < smallest:
\[
\text { smallest }=\text { num }
\]
if nam > Largest:
\[
\text { Largest }=\text { num }
\]
fietutin smallest, Largest
* Example usage.
\[
\begin{array}{l}
\text { rumbers }=[1,2,3,4,5,6,7,8,9] \\
\text { result }=\text { find_lrgst_smallst (numbers) }
\end{array}
\]
print (result)",170
"def main():
    user_number = input(""Enter the number: "")
    result = sum_of_digits(user_number)
    print(""The Sum of the Digits is: "", result)

def sum_of_digits(user_number):
    number_str = str(user_number)
    digit_sum = 0
    for digit in number_str:
        digit_sum += int(digit)
    return digit_sum

if __name__ == ""__main__"":
    main()
","def main():
user number
input (""Enter the number: "")
result = Sum_of_digits (user_number)
print (""The Sum of the digits is"", result)
def Sum_of_digits (user_ number):
W 18
number_str = Str (user_number)
digit_sum = 0
for digit in number str:
#zero
return digit sum
if_name_
main()
digit_sum += int(digit)
_main_"":",112,"def main():
user_number = input (""Enter the number: "")
result = Sum_of-digits (user_number)
print (""The Sum of the digits is"", result)
def Sum- of_digits (user_ number):
1#
number_str = Str (user- number)
digit_sum = 0 # zero
for digit in number-str:
digit_sum + int(digit)
return digit_sum
if name_ == ""__main_"":
main()",71,"def main():
user_number = input (""Enter the number:
"")
result = sum_of_digits (user_number )
print (""The sum of the digits is "", result)
def Sum_of_digits (user_number):
number_str = Str (user_number)
digit_sum=0 # zero
for digit in number-str:
digit_sum + = int (digit)
return digit sum
if _name _== ""_main_"":
main()",71,"def main():
user_number = input (""Enter the number: "")
result = sum_of digits (user_number)
print (""The sum of the digits is"", result)
def sum_of_digits (user_number):
number_st \( r=\operatorname{str} \) (user_number)
digit_sum \( =\varnothing \quad \# \) zero
for digit in numberstr:
\[
\text { digit_sum } t=\operatorname{int} \text { (digit) }
\]
veturn digit_sum
if name_ \( =="" \) main_ \( "" \) :
main()",147
"def is_prime(n):
    """"""
    Returns True if n is prime, False otherwise.
    """"""
    if n <= 1:
        return False
    for i in range(2, int(n**0.5) + 1):
        if n % i == 0:
            return False
    return True

def main():
    """"""
    The main function.
    """"""
    n = int(input(""Enter a number: ""))
    if is_prime(n):
        print(n, ""is a prime number."")
    else:
        print(n, ""is not a prime number."")

if __name__ == ""__main__"":
    main()
","def is-prime (n):
DON
if
Returns True if n is prime, False otherwise.
|(α ||
if n <
n < = 1:
return False
for i in range (2, int(n** 0.5) +1);
if n % i = = 0;
def main():
return True
[((11
The main function.
Int
return False
14
n = int ( input (""Enter a number: "")
if is-prime (n):
print (n
else:
""is a
main()
print (n. ""is not a prime number."")
name__ ==
prime number."")
11
main.
--
})",207,"dof is -prime (n):
110V
Returns True if n is prime, False otherwise.
11011
if n <= 1:
return False
for i in range (2 , int(n**0.5 ) +1): :
if n % i == 0 :
return False
return True
def main():
The main function.
n= int (input ( ""Enter a number: "")
if is-prime (n):
print ( n , ""is a prime number."")
else :
print( n, ""is not a prime number. "")
if
name
11
main
"",
""
;
main()",152,"def is-prime (n):
1104
Returns True if n is prime, False otherwise
11011
if n <= 1:
return False
for i in range (2, int(n*0.5)+1):
if n % i == 0.
return False
return True
def main () :
11 /11
The main function.
/11.11
n = int ( input (""Enter a number: "")
if is- prime (n):
print (n, "" is a prime number."")
else :
print( n, ""is not a prime number. "")
it
- - name __ == __ main -- :
main ( )",147,"def is-prime \( (n) \) :
Returns True if \( n \) is prime, False otherwise.
IIU11
if \( n<=1 \) :
return False
for \( i \) in range \( \left(2, \operatorname{int}\left(n^{* *} 0.5\right)+1\right) \) :
if \( n \% i==0 \) :
retum False
return True
def \( \operatorname{main}() \) :
IIIII
The main function.
1....
\( n=\operatorname{int} \) (input (""Enter a number: "")
if is-prime \( (n) \) :
print \( (n \), ""is a prime number."")
else:
print ( \( n \), ""is not a prime number."")
if \( \ldots \) name _. \( =="" \) main .. ""
\( \operatorname{main}() \)",279
"# Reverse String

def main():
    str = input(""Input a string: "")
    r_str = """"
    for i in str:
        r_str = i + r_str
    print(r_str)

if __name__ == ""__main__"":
    main()
","#Reverse String
def mam ():
str = input (""Input a string: "")
ro_str=
for i m str:
||||
if_name
r_str=i+r_stra
primt (r_stro)
mam ()
_maim_"":",78,"# Reverse
string
def main ():
str = input ( ""Input a string: "")
ro-str=
for i instr:
r_str=itn_str
print (n_str)
if_ name - "" - __main_
main ()",63,"#Reverse String
def man ():
str = input (""Input a string: "")
ro _str= """"
for i'm str:
r_ str = i+ n_ str
print (no_stro)
if_name _= = ""_main_"":
main ()",55,"\# Reverse string
def \( \operatorname{mam}() \) :
stro = input (""Input a string: "")
rostro \( ="" 11 \)
for i instr:
\[
r_{-} s t r=i+r_{-} s t r
\]
print (r_stro)
\[
\begin{array}{l}
\text { if_name- }=="" \text {-main_: } \\
\operatorname{mam} \text { () }
\end{array}
\]",157
